,match_id,shots_on_first_half,shots_on_second_half,goals_first_half,T,id_x,country_id,season,stage,date,is_home_team,curr_buildUpPlaySpeed,rival_buildUpPlaySpeed,curr_buildUpPlaySpeedClass,rival_buildUpPlaySpeedClass,curr_buildUpPlayDribblingClass,rival_buildUpPlayDribblingClass,curr_buildUpPlayPassing,rival_buildUpPlayPassing,curr_buildUpPlayPassingClass,rival_buildUpPlayPassingClass,curr_buildUpPlayPositioningClass,rival_buildUpPlayPositioningClass,curr_chanceCreationPassing,rival_chanceCreationPassing,curr_chanceCreationPassingClass,rival_chanceCreationPassingClass,curr_chanceCreationCrossing,rival_chanceCreationCrossing,curr_chanceCreationCrossingClass,rival_chanceCreationCrossingClass,curr_chanceCreationShooting,rival_chanceCreationShooting,curr_chanceCreationShootingClass,rival_chanceCreationShootingClass,curr_chanceCreationPositioningClass,rival_chanceCreationPositioningClass,curr_defencePressure,rival_defencePressure,curr_defencePressureClass,rival_defencePressureClass,curr_defenceAggression,rival_defenceAggression,curr_defenceAggressionClass,rival_defenceAggressionClass,curr_defenceTeamWidth,rival_defenceTeamWidth,curr_defenceTeamWidthClass,rival_defenceTeamWidthClass,curr_defenceDefenderLineClass,rival_defenceDefenderLineClass,curr_field players rating,rival_field players rating,curr_gk rating,rival_gk rating,draw_bets,curr_bets,rival_bets,curr_team_api_id,rival_team_api_id,curr_shots_1,rival_shots_1,month,team_long_name,id_y,country_name,cards,fouls
0,1799.0,5.0,5.0,2.0,True,1799.0,1729.0,2008/2009,16.0,2008-12-06,True,70,60,Fast,Balanced,Little,Little,45,70,Mixed,Long,Organised,Organised,45,70,Normal,Risky,70,70,Lots,Lots,65,55,Normal,Normal,Free Form,Organised,40,35,Medium,Medium,50,70,Press,Double,40,35,Normal,Normal,Cover,Cover,82.63333333333334,74.44444444444444,85.0,67.0,6.688888888888889,1.161111111111111,17.444444444444443,10260.0,8472.0,5.0,0.0,12,Manchester United,1729,England,1,18
1,1799.0,0.0,1.0,0.0,False,1799.0,1729.0,2008/2009,16.0,2008-12-06,False,60,70,Balanced,Fast,Little,Little,70,45,Long,Mixed,Organised,Organised,70,45,Risky,Normal,70,70,Lots,Lots,55,65,Normal,Normal,Organised,Free Form,35,40,Medium,Medium,70,50,Double,Press,35,40,Normal,Normal,Cover,Cover,74.44444444444444,82.63333333333334,67.0,85.0,6.688888888888889,17.444444444444443,1.161111111111111,8472.0,10260.0,0.0,5.0,12,Sunderland,1729,England,1,18
2,2069.0,12.0,7.0,1.0,True,2069.0,1729.0,2008/2009,6.0,2008-09-27,True,70,55,Fast,Balanced,Little,Little,45,70,Mixed,Long,Organised,Organised,45,70,Normal,Risky,70,70,Lots,Lots,65,45,Normal,Normal,Free Form,Organised,40,35,Medium,Medium,50,70,Press,Double,40,35,Normal,Normal,Cover,Cover,82.63333333333334,74.3,85.0,80.0,5.616666666666666,1.2188888888888887,13.61111111111111,10260.0,8559.0,12.0,3.0,9,Manchester United,1729,England,3,19
3,2069.0,3.0,2.0,1.0,False,2069.0,1729.0,2008/2009,6.0,2008-09-27,False,55,70,Balanced,Fast,Little,Little,70,45,Long,Mixed,Organised,Organised,70,45,Risky,Normal,70,70,Lots,Lots,45,65,Normal,Normal,Organised,Free Form,35,40,Medium,Medium,70,50,Double,Press,35,40,Normal,Normal,Cover,Cover,74.3,82.63333333333334,80.0,85.0,5.616666666666666,13.61111111111111,1.2188888888888887,8559.0,10260.0,3.0,12.0,9,Bolton Wanderers,1729,England,3,19
4,2089.0,6.0,4.0,1.0,True,2089.0,1729.0,2008/2009,8.0,2008-10-18,True,70,65,Fast,Balanced,Little,Little,45,40,Mixed,Mixed,Organised,Organised,45,70,Normal,Risky,70,70,Lots,Lots,65,55,Normal,Normal,Free Form,Organised,40,70,Medium,High,50,70,Press,Double,40,70,Normal,Wide,Cover,Cover,82.63333333333334,71.1,85.0,76.0,5.966666666666667,1.2,14.555555555555555,10260.0,8659.0,6.0,1.0,10,Manchester United,1729,England,1,24
5,2089.0,1.0,1.0,1.0,False,2089.0,1729.0,2008/2009,8.0,2008-10-18,False,65,70,Balanced,Fast,Little,Little,40,45,Mixed,Mixed,Organised,Organised,70,45,Risky,Normal,70,70,Lots,Lots,55,65,Normal,Normal,Organised,Free Form,70,40,High,Medium,70,50,Double,Press,70,40,Wide,Normal,Cover,Cover,71.1,82.63333333333334,76.0,85.0,5.966666666666667,14.555555555555555,1.2,8659.0,10260.0,1.0,6.0,10,West Bromwich Albion,1729,England,1,24
6,4051.0,3.0,2.0,1.0,True,4051.0,1729.0,2014/2015,13.0,2014-11-29,True,46,56,Balanced,Balanced,Normal,Normal,54,51,Mixed,Mixed,Organised,Organised,49,54,Normal,Normal,72,60,Lots,Normal,56,48,Normal,Normal,Organised,Organised,42,38,Medium,Medium,41,37,Press,Press,56,46,Normal,Normal,Cover,Cover,80.6,73.6,84.0,73.0,5.416666666666667,1.3133333333333335,9.841666666666667,10260.0,8667.0,3.0,1.0,11,Manchester United,1729,England,4,24
7,4051.0,1.0,2.0,0.0,False,4051.0,1729.0,2014/2015,13.0,2014-11-29,False,56,46,Balanced,Balanced,Normal,Normal,51,54,Mixed,Mixed,Organised,Organised,54,49,Normal,Normal,60,72,Normal,Lots,48,56,Normal,Normal,Organised,Organised,38,42,Medium,Medium,37,41,Press,Press,46,56,Normal,Normal,Cover,Cover,73.6,80.6,73.0,84.0,5.416666666666667,9.841666666666667,1.3133333333333335,8667.0,10260.0,1.0,3.0,11,Hull City,1729,England,4,24
8,4164.0,3.0,4.0,1.0,True,4164.0,1729.0,2014/2015,23.0,2015-01-31,True,46,63,Balanced,Balanced,Normal,Normal,54,48,Mixed,Mixed,Organised,Organised,49,47,Normal,Normal,72,62,Lots,Normal,56,69,Normal,Lots,Organised,Organised,42,58,Medium,Medium,41,62,Press,Press,56,54,Normal,Normal,Cover,Cover,80.6,70.3,84.0,76.0,5.041666666666667,1.3500000000000003,9.166666666666666,10260.0,8197.0,3.0,0.0,1,Manchester United,1729,England,1,20
9,4164.0,0.0,0.0,1.0,False,4164.0,1729.0,2014/2015,23.0,2015-01-31,False,63,46,Balanced,Balanced,Normal,Normal,48,54,Mixed,Mixed,Organised,Organised,47,49,Normal,Normal,62,72,Normal,Lots,69,56,Lots,Normal,Organised,Organised,58,42,Medium,Medium,62,41,Press,Press,54,56,Normal,Normal,Cover,Cover,70.3,80.6,76.0,84.0,5.041666666666667,9.166666666666666,1.3500000000000003,8197.0,10260.0,0.0,3.0,1,Leicester City,1729,England,1,20
