,match_id,team_id,possession_until_halftime,shots_on,shots_on_first_half,shots_on_second_half,goals,goals_first_half,goals_second_half
0,1729,10260,54,11,6,5,1,1,0
1,1729,10261,46,1,0,1,1,1,0
2,1730,9825,61,12,7,5,1,1,0
3,1730,8659,39,2,0,2,0,0,0
4,1731,8472,43,4,2,2,1,0,1
5,1731,8650,57,11,4,7,0,0,0
6,1732,8654,56,5,3,2,2,2,0
7,1732,8528,44,7,1,6,1,0,1
8,1733,10252,54,5,4,1,4,0,4
9,1733,8456,46,9,2,7,2,0,2
10,1734,8668,59,2,1,1,3,1,2
11,1734,8655,41,8,4,4,2,1,1
12,1735,8549,49,7,3,4,4,1,3
13,1735,8586,51,2,0,2,0,0,0
14,1736,8559,47,5,3,2,3,3,0
15,1736,10194,53,1,0,1,1,0,1
16,1738,8462,36,7,5,2,4,3,1
17,1738,8455,64,6,5,1,0,0,0
18,1739,10260,58,11,6,5,2,2,0
19,1739,8654,42,3,2,1,0,0,0
20,1741,8456,43,11,3,8,2,0,2
21,1741,8549,57,5,5,0,0,0,0
22,1742,8559,55,13,7,6,1,0,1
23,1742,8668,45,6,5,1,0,0,0
24,1745,8650,54,9,5,4,1,0,1
25,1745,8462,46,1,1,0,0,0,0
26,1746,10252,49,2,2,0,2,1,1
27,1746,8655,51,7,4,3,3,1,2
28,1747,10261,51,4,2,2,2,2,0
29,1747,8659,49,5,1,4,1,0,1
30,1748,8528,44,4,3,1,2,1,1
31,1748,9879,56,1,0,1,0,0,0
32,1749,10260,53,7,2,5,5,4,1
33,1749,8667,47,3,0,3,3,1,2
34,1750,8650,53,5,2,3,2,1,1
35,1750,8586,47,5,2,3,1,0,1
36,1751,8668,48,5,4,1,1,0,1
37,1751,9879,52,7,3,4,0,0,0
38,1752,8654,55,8,1,7,1,1,0
39,1752,8549,45,8,2,6,1,0,1
40,1753,10261,44,5,3,2,2,0,2
41,1753,10252,56,1,1,0,0,0,0
42,1754,8559,51,8,3,5,1,0,1
43,1754,8456,49,7,3,4,1,0,1
44,1755,8659,57,7,2,5,2,1,1
45,1755,8655,43,4,1,3,2,0,2
46,1756,8528,53,9,4,5,2,1,1
47,1756,8462,47,8,3,5,1,0,1
48,1757,9825,63,4,3,1,2,1,1
49,1757,10194,37,3,2,1,1,0,1
50,1758,8455,54,8,6,2,5,3,2
51,1758,8472,46,0,0,0,0,0,0
52,1759,10260,43,9,5,4,2,1,1
53,1759,9825,57,6,3,3,2,1,1
54,1760,8650,65,8,7,1,3,2,1
55,1760,8659,35,2,1,1,0,0,0
56,1761,8462,52,3,3,0,1,1,0
57,1761,8472,48,4,2,2,2,0,2
58,1762,8654,57,11,7,4,1,0,1
59,1762,8668,43,3,1,2,3,0,3
60,1763,10252,67,10,7,3,2,1,1
61,1763,8549,33,5,2,3,1,1,0
62,1764,8456,48,6,2,4,1,1,0
63,1764,8586,52,5,2,3,2,1,1
64,1765,8455,57,9,6,3,2,1,1
65,1765,8655,43,3,1,2,0,0,0
66,1766,9879,49,5,4,1,2,1,1
67,1766,10261,51,6,1,5,1,0,1
68,1767,8667,53,8,2,6,1,0,1
69,1767,8559,47,7,1,6,0,0,0
70,1768,8528,51,9,2,7,5,2,3
71,1768,10194,49,1,0,1,0,0,0
72,1769,10260,59,11,5,6,2,1,1
73,1769,10194,41,0,0,0,1,0,1
74,1770,10252,42,4,4,0,1,1,0
75,1770,9825,58,8,3,5,1,0,1
76,1772,8549,39,2,1,1,1,1,0
77,1772,8668,61,7,5,2,2,0,2
78,1774,8655,60,8,4,4,2,1,1
79,1774,8472,40,5,3,2,1,0,1
80,1775,9879,55,13,3,10,2,1,1
81,1775,8586,45,5,3,2,1,1,0
82,1776,8650,61,7,4,3,2,1,1
83,1776,8559,39,10,1,9,2,2,0
84,1778,8667,53,3,0,3,1,1,0
85,1778,8456,47,3,0,3,0,0,0
86,1779,9879,57,5,4,1,1,1,0
87,1779,8650,43,8,5,3,0,0,0
88,1780,8472,45,4,3,1,3,2,1
89,1780,8654,55,6,5,1,1,0,1
90,1781,8655,41,10,4,6,3,1,2
91,1781,8586,59,10,2,8,0,0,0
92,1782,10252,40,7,3,4,3,1,2
93,1782,10260,60,5,4,1,1,0,1
94,1783,8559,47,2,2,0,1,0,1
95,1783,8549,53,10,4,6,0,0,0
96,1784,9825,53,5,2,3,1,0,1
97,1784,8456,47,4,1,3,0,0,0
98,1785,8462,57,4,3,1,1,0,1
99,1785,8667,43,7,2,5,0,0,0
100,1786,10194,59,9,4,5,2,2,0
101,1786,8659,41,3,1,2,4,3,1
102,1787,8668,56,5,3,2,1,0,1
103,1787,8528,44,7,4,3,0,0,0
104,1788,8455,62,17,8,9,1,0,1
105,1788,10261,38,0,0,0,0,0,0
106,1789,8650,55,11,4,7,1,1,0
107,1789,8654,45,3,2,1,0,0,0
108,1790,8472,51,6,2,4,3,0,3
109,1790,8559,49,4,1,3,2,0,2
110,1791,8668,53,5,3,2,1,1,0
111,1791,8586,47,6,1,5,1,0,1
112,1792,9879,44,2,1,1,1,0,1
113,1792,10252,56,6,0,6,2,0,2
114,1793,8549,46,7,1,6,1,0,1
115,1793,10261,54,6,2,4,0,0,0
116,1794,10260,54,8,4,4,1,1,0
117,1794,8456,46,1,0,1,0,0,0
118,1795,8462,57,2,1,1,2,0,2
119,1795,8655,43,2,2,0,0,0,0
120,1796,10194,54,8,4,4,2,2,0
121,1796,8667,46,5,0,5,2,0,2
122,1797,8528,41,7,3,4,3,0,3
123,1797,8659,59,9,2,7,1,0,1
124,1799,10260,75,10,5,5,2,2,0
125,1799,8472,25,1,0,1,0,0,0
126,1800,8528,51,7,3,4,2,0,2
127,1800,9825,49,3,1,2,1,0,1
128,1801,8586,42,9,3,6,1,1,0
129,1801,8654,58,5,1,4,3,3,0
130,1803,10261,60,4,3,1,4,3,1
131,1803,10194,40,4,0,4,0,0,0
132,1804,8655,34,2,2,0,1,0,1
133,1804,8650,66,5,0,5,0,0,0
134,1806,8559,47,8,3,5,3,2,1
135,1806,8455,53,4,2,2,3,1,2
136,1808,8549,51,6,3,3,3,0,3
137,1808,8667,49,6,3,3,0,0,0
138,1809,8650,57,12,7,5,3,2,1
139,1809,8667,43,3,2,1,0,0,0
140,1810,8472,52,7,5,2,1,1,0
141,1810,8659,48,13,7,6,1,1,0
142,1811,8586,32,5,3,2,1,0,1
143,1811,10260,68,10,5,5,0,0,0
144,1812,10252,53,4,1,3,1,0,1
145,1812,8559,47,1,0,1,0,0,0
146,1815,8462,45,7,3,4,2,1,1
147,1815,10261,55,2,1,1,1,1,0
148,1816,9879,59,7,2,5,3,3,0
149,1816,10194,41,0,0,0,0,0,0
150,1817,8528,60,1,1,0,3,1,2
151,1817,8655,40,4,3,1,0,0,0
152,1820,8650,41,7,4,3,2,2,0
