,match_id,team_id,possession_only_second_half,shots_on,shots_on_first_half,shots_on_second_half,goals,goals_first_half,goals_second_half
0,1729,10260,56,11,6,5,1,1,0
1,1729,10261,44,1,0,1,1,1,0
2,1730,9825,71,12,7,5,1,1,0
3,1730,8659,29,2,0,2,0,0,0
4,1731,8472,49,4,2,2,1,0,1
5,1731,8650,51,11,4,7,0,0,0
6,1732,8654,48,5,3,2,2,2,0
7,1732,8528,52,7,1,6,1,0,1
8,1734,8668,43,2,1,1,3,1,2
9,1734,8655,57,8,4,4,2,1,1
10,1735,8549,57,7,3,4,4,1,3
11,1735,8586,43,2,0,2,0,0,0
12,1736,8559,47,5,3,2,3,3,0
13,1736,10194,53,1,0,1,1,0,1
14,1739,10260,62,11,6,5,2,2,0
15,1739,8654,38,3,2,1,0,0,0
16,1741,8456,67,11,3,8,2,0,2
17,1741,8549,33,5,5,0,0,0,0
18,1742,8559,51,13,7,6,1,0,1
19,1742,8668,49,6,5,1,0,0,0
20,1744,8472,46,4,3,1,1,0,1
21,1744,10194,54,4,4,0,0,0,0
22,1745,8650,54,9,5,4,1,0,1
23,1745,8462,46,1,1,0,0,0,0
24,1746,10252,65,2,2,0,2,1,1
25,1746,8655,35,7,4,3,3,1,2
26,1747,10261,51,4,2,2,2,2,0
27,1747,8659,49,5,1,4,1,0,1
28,1748,8528,56,4,3,1,2,1,1
29,1748,9879,44,1,0,1,0,0,0
30,1750,8650,49,5,2,3,2,1,1
31,1750,8586,51,5,2,3,1,0,1
32,1751,8668,60,5,4,1,1,0,1
33,1751,9879,40,7,3,4,0,0,0
34,1752,8654,39,8,1,7,1,1,0
35,1752,8549,61,8,2,6,1,0,1
36,1753,10261,66,5,3,2,2,0,2
37,1753,10252,34,1,1,0,0,0,0
38,1754,8559,59,8,3,5,1,0,1
39,1754,8456,41,7,3,4,1,0,1
40,1755,8659,61,7,2,5,2,1,1
41,1755,8655,39,4,1,3,2,0,2
42,1756,8528,57,9,4,5,2,1,1
43,1756,8462,43,8,3,5,1,0,1
44,1757,9825,47,4,3,1,2,1,1
45,1757,10194,53,3,2,1,1,0,1
46,1758,8455,56,8,6,2,5,3,2
47,1758,8472,44,0,0,0,0,0,0
48,1759,10260,53,9,5,4,2,1,1
49,1759,9825,47,6,3,3,2,1,1
50,1760,8650,37,8,7,1,3,2,1
51,1760,8659,63,2,1,1,0,0,0
52,1761,8462,38,3,3,0,1,1,0
53,1761,8472,62,4,2,2,2,0,2
54,1762,8654,53,11,7,4,1,0,1
55,1762,8668,47,3,1,2,3,0,3
56,1763,10252,45,10,7,3,2,1,1
57,1763,8549,55,5,2,3,1,1,0
58,1764,8456,42,6,2,4,1,1,0
59,1764,8586,58,5,2,3,2,1,1
60,1765,8455,63,9,6,3,2,1,1
61,1765,8655,37,3,1,2,0,0,0
62,1766,9879,57,5,4,1,2,1,1
63,1766,10261,43,6,1,5,1,0,1
64,1767,8667,57,8,2,6,1,0,1
