,match_id,team_id,possession_full_match,shots_on,shots_on_first_half,shots_on_second_half,goals,goals_first_half,goals_second_half
0,1729,10260,55,11,6,5,1,1,0
1,1729,10261,45,1,0,1,1,1,0
2,1730,9825,66,12,7,5,1,1,0
3,1730,8659,34,2,0,2,0,0,0
4,1731,8472,46,4,2,2,1,0,1
5,1731,8650,54,11,4,7,0,0,0
6,1732,8654,52,5,3,2,2,2,0
7,1732,8528,48,7,1,6,1,0,1
8,1733,10252,52,5,4,1,4,0,4
9,1733,8456,48,9,2,7,2,0,2
10,1734,8668,51,2,1,1,3,1,2
11,1734,8655,49,8,4,4,2,1,1
12,1735,8549,53,7,3,4,4,1,3
13,1735,8586,47,2,0,2,0,0,0
14,1736,8559,47,5,3,2,3,3,0
15,1736,10194,53,1,0,1,1,0,1
16,1737,9879,47,4,4,0,1,1,0
17,1737,8667,53,5,2,3,2,1,1
18,1739,10260,60,11,6,5,2,2,0
19,1739,8654,40,3,2,1,0,0,0
20,1740,9825,62,9,3,6,4,1,3
21,1740,8586,38,3,0,3,4,1,3
22,1741,8456,55,11,3,8,2,0,2
23,1741,8549,45,5,5,0,0,0,0
24,1742,8559,53,13,7,6,1,0,1
25,1742,8668,47,6,5,1,0,0,0
26,1744,8472,48,4,3,1,1,0,1
27,1744,10194,52,4,4,0,0,0,0
28,1745,8650,54,9,5,4,1,0,1
29,1745,8462,46,1,1,0,0,0,0
30,1746,10252,57,2,2,0,2,1,1
31,1746,8655,43,7,4,3,3,1,2
32,1747,10261,51,4,2,2,2,2,0
33,1747,8659,49,5,1,4,1,0,1
34,1750,8650,51,5,2,3,2,1,1
35,1750,8586,49,5,2,3,1,0,1
36,1751,8668,54,5,4,1,1,0,1
37,1751,9879,46,7,3,4,0,0,0
38,1752,8654,47,8,1,7,1,1,0
39,1752,8549,53,8,2,6,1,0,1
40,1753,10261,55,5,3,2,2,0,2
41,1753,10252,45,1,1,0,0,0,0
42,1754,8559,55,8,3,5,1,0,1
43,1754,8456,45,7,3,4,1,0,1
44,1755,8659,59,7,2,5,2,1,1
45,1755,8655,41,4,1,3,2,0,2
46,1756,8528,55,9,4,5,2,1,1
47,1756,8462,45,8,3,5,1,0,1
48,1757,9825,55,4,3,1,2,1,1
49,1757,10194,45,3,2,1,1,0,1
50,1758,8455,55,8,6,2,5,3,2
51,1758,8472,45,0,0,0,0,0,0
52,1759,10260,48,9,5,4,2,1,1
53,1759,9825,52,6,3,3,2,1,1
54,1760,8650,51,8,7,1,3,2,1
55,1760,8659,49,2,1,1,0,0,0
56,1761,8462,45,3,3,0,1,1,0
57,1761,8472,55,4,2,2,2,0,2
58,1762,8654,55,11,7,4,1,0,1
59,1762,8668,45,3,1,2,3,0,3
60,1763,10252,56,10,7,3,2,1,1
61,1763,8549,44,5,2,3,1,1,0
62,1764,8456,45,6,2,4,1,1,0
63,1764,8586,55,5,2,3,2,1,1
64,1765,8455,60,9,6,3,2,1,1
65,1765,8655,40,3,1,2,0,0,0
66,1766,9879,53,5,4,1,2,1,1
67,1766,10261,47,6,1,5,1,0,1
68,1767,8667,55,8,2,6,1,0,1
69,1767,8559,45,7,1,6,0,0,0
70,1768,8528,57,9,2,7,5,2,3
71,1768,10194,43,1,0,1,0,0,0
72,1769,10260,58,11,5,6,2,1,1
73,1769,10194,42,0,0,0,1,0,1
74,1770,10252,47,4,4,0,1,1,0
75,1770,9825,53,8,3,5,1,0,1
76,1772,8549,45,2,1,1,2,1,1
77,1772,8668,55,7,5,2,2,0,2
78,1773,8528,46,4,2,2,2,1,1
79,1773,10261,54,6,1,5,1,0,1
80,1775,9879,52,13,3,10,2,1,1
81,1775,8586,48,5,3,2,1,1,0
82,1776,8650,52,7,4,3,3,3,0
83,1776,8559,48,10,1,9,0,0,0
84,1777,8455,51,7,2,5,2,1,1
85,1777,8659,49,3,3,0,2,2,0
86,1778,8667,52,3,0,3,1,1,0
87,1778,8456,48,3,0,3,0,0,0
88,1779,9879,47,5,4,1,1,1,0
89,1779,8650,53,8,5,3,0,0,0
90,1780,8472,56,4,3,1,3,2,1
91,1780,8654,44,6,5,1,1,0,1
92,1781,8655,47,10,4,6,3,1,2
93,1781,8586,53,10,2,8,0,0,0
94,1782,10252,40,7,3,4,3,1,2
95,1782,10260,60,5,4,1,1,0,1
96,1783,8559,49,2,2,0,1,0,1
97,1783,8549,51,10,4,6,0,0,0
98,1784,9825,46,5,2,3,1,0,1
99,1784,8456,54,4,1,3,0,0,0
100,1785,8462,54,4,3,1,2,2,0
101,1785,8667,46,7,2,5,4,3,1
102,1786,10194,55,9,4,5,1,0,1
103,1786,8659,45,3,1,2,0,0,0
104,1788,8455,61,17,8,9,1,0,1
105,1788,10261,39,0,0,0,0,0,0
106,1790,8472,51,6,2,4,1,1,0
107,1790,8559,49,4,1,3,0,0,0
108,1791,8668,49,5,3,2,3,0,3
109,1791,8586,51,6,1,5,2,0,2
110,1792,9879,44,2,1,1,1,1,0
111,1792,10252,56,6,0,6,1,0,1
