,team_long_name,team_id,season,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassing,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassing,chanceCreationPassingClass,chanceCreationCrossing,chanceCreationCrossingClass,chanceCreationShooting,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressure,defencePressureClass,defenceAggression,defenceAggressionClass,defenceTeamWidth,defenceTeamWidthClass,defenceDefenderLineClass,field players rating,gk rating
0,Manchester United,10260.0,2008/2009,70,Fast,Little,45,Mixed,Organised,45,Normal,70,Lots,65,Normal,Free Form,40,Medium,50,Press,40,Normal,Cover,82.52631578947368,83.36842105263158
1,Manchester United,10260.0,2009/2010,70,Fast,Little,45,Mixed,Organised,45,Normal,70,Lots,65,Normal,Free Form,40,Medium,50,Press,40,Normal,Cover,82.51052631578948,78.52631578947368
2,Manchester United,10260.0,2010/2011,65,Balanced,Little,40,Mixed,Organised,65,Normal,65,Normal,70,Lots,Free Form,45,Medium,45,Press,65,Normal,Cover,81.8,83.0
3,Manchester United,10260.0,2011/2012,46,Balanced,Little,54,Mixed,Organised,46,Normal,60,Normal,55,Normal,Organised,40,Medium,50,Press,56,Normal,Cover,81.3,75.6
4,Manchester United,10260.0,2012/2013,46,Balanced,Little,38,Mixed,Organised,46,Normal,68,Lots,37,Normal,Organised,49,Medium,49,Press,56,Normal,Cover,81.52,80.0
5,Manchester United,10260.0,2013/2014,46,Balanced,Little,38,Mixed,Organised,46,Normal,68,Lots,37,Normal,Organised,49,Medium,49,Press,56,Normal,Cover,80.33636363636364,82.0
6,Manchester United,10260.0,2014/2015,46,Balanced,Normal,54,Mixed,Organised,49,Normal,72,Lots,56,Normal,Organised,42,Medium,41,Press,56,Normal,Cover,79.9,84.0
7,Manchester United,10260.0,2015/2016,38,Balanced,Normal,44,Mixed,Organised,49,Normal,44,Normal,40,Normal,Organised,54,Medium,53,Press,56,Normal,Cover,79.85,84.75
8,Newcastle United,10261.0,2008/2009,70,Fast,Little,60,Mixed,Organised,65,Normal,70,Lots,60,Normal,Organised,45,Medium,65,Press,45,Normal,Cover,75.17272727272727,80.27272727272727
9,Newcastle United,10261.0,2010/2011,55,Balanced,Little,50,Mixed,Organised,60,Normal,50,Normal,60,Normal,Organised,45,Medium,45,Press,50,Normal,Cover,75.22,74.0
10,Newcastle United,10261.0,2011/2012,54,Balanced,Little,54,Mixed,Organised,54,Normal,68,Lots,48,Normal,Organised,52,Medium,48,Press,42,Normal,Cover,76.4,78.0
11,Newcastle United,10261.0,2012/2013,58,Balanced,Little,72,Long,Organised,48,Normal,51,Normal,46,Normal,Organised,41,Medium,39,Press,51,Normal,Cover,77.45555555555555,75.88888888888889
12,Newcastle United,10261.0,2013/2014,58,Balanced,Little,72,Long,Organised,48,Normal,51,Normal,46,Normal,Organised,41,Medium,39,Press,51,Normal,Cover,76.05833333333334,79.0
13,Newcastle United,10261.0,2014/2015,54,Balanced,Little,47,Mixed,Organised,47,Normal,51,Normal,39,Normal,Organised,56,Medium,54,Press,51,Normal,Cover,74.34666666666666,76.2
14,Newcastle United,10261.0,2015/2016,58,Balanced,Normal,49,Mixed,Organised,47,Normal,54,Normal,46,Normal,Organised,41,Medium,39,Press,51,Normal,Cover,75.59285714285714,70.57142857142857
15,Arsenal,9825.0,2008/2009,66,Balanced,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover,80.3625,77.75
16,Arsenal,9825.0,2009/2010,66,Balanced,Little,30,Short,Free Form,30,Safe,45,Normal,35,Normal,Free Form,30,Deep,40,Press,50,Normal,Cover,81.38125,77.0
